Rented Bike Count,Temperature,Humidity(%),Wind speed (m/s),Visibility (10m),Rainfall(mm),Snowfall (cm),Seasons
93,0.6,43,0.9,1599,0,0,Spring
55,0.8,39,1,1463,0,0,Spring
71,0.5,42,0.9,1543,0,0,Spring
159,0.1,43,1.4,1502,0,0,Spring
306,0.4,38,1.8,1564,0,0,Spring
329,2.2,30,1.5,1513,0,0,Spring
354,5.1,27,1.2,1563,0,0,Spring
431,8.1,21,2.1,1738,0,0,Spring
605,10.7,16,1.7,1657,0,0,Spring
771,12.2,14,1.6,1896,0,0,Spring
1025,14.4,14,1.4,1833,0,0,Spring
1238,16,14,2.2,1828,0,0,Spring
1285,15.8,15,2.6,1867,0,0,Spring
1197,15,22,2.5,1946,0,0,Spring
920,13.9,26,1.9,1995,0,0,Spring
630,12.7,32,2.3,2000,0,0,Spring
631,11.1,51,3.7,1957,0,0,Spring
588,10.3,52,2.2,1843,0,0,Spring
516,10.2,49,1.7,1972,0,0,Spring
215,9.4,74,1.6,559,0,0,Spring
161,8.5,87,0.9,303,0,0,Spring
118,8.3,91,0.1,282,0,0,Spring
95,8.3,95,0.3,243,0,0,Spring
90,8.5,96,0.4,238,0.1,0,Spring
34,8.8,95,0.2,218,0,0,Spring
15,8.8,96,1.2,196,0,0,Spring
20,8.6,96,0.7,224,0.2,0,Spring
23,8.4,97,2.6,122,0,0,Spring
70,8.3,97,0.6,152,0,0,Spring
157,8.8,97,1.3,196,0.2,0,Spring
239,9.8,90,0.8,335,0,0,Spring
273,10.1,88,0.7,453,0,0,Spring
358,10.7,85,0.9,393,0,0,Spring
429,10.8,84,1.2,400,0,0,Spring
475,11.2,83,1.1,518,0,0,Spring
468,11.7,81,1.2,616,0,0,Spring
396,11.7,82,1.1,753,0,0,Spring
492,11.8,82,1.7,990,0,0,Spring
436,11.5,81,1.5,1475,0,0,Spring
289,11.2,81,2.3,1614,0,0,Spring
26,11.3,80,1.2,1978,0,0,Spring
7,10.6,89,2.1,606,2,0,Spring
8,9.6,92,2.5,721,0,0,Spring
9,8.7,91,2.9,957,0,0,Spring
22,7.6,88,2.5,1974,9,0,Spring
23,7,88,2.5,2000,0,0,Spring
9,6.3,89,2.2,1456,0,0,Spring
2,5.7,92,2,458,1.5,0,Spring
4,5.1,90,2.6,1005,0,0,Spring
22,4.7,89,2.3,1242,0,0,Spring
20,4.2,87,2,1979,2,0,Spring
85,3.8,87,2.2,2000,0,0,Spring
184,3.6,88,2.3,2000,0,0,Spring
211,3.7,85,1.8,2000,0,0,Spring
232,4.4,80,1.8,2000,0,0,Spring
322,6.1,66,1.9,2000,0,0,Spring
438,7.6,58,2.4,2000,0,0,Spring
465,8.3,51,2,2000,0,0,Spring
550,10,44,1.9,2000,0,0,Spring
637,10.3,43,2.5,2000,0,0,Spring
718,11,39,1.2,2000,0,0,Spring
865,10,43,1.4,2000,0,0,Spring
1155,8.1,47,1.7,2000,0,0,Spring
782,5.8,53,1.7,2000,0,0,Spring
578,4.3,57,1.3,2000,0,0,Spring
533,3.1,59,1.5,2000,0,0,Spring
466,2.3,63,1,2000,0,0,Spring
274,1.9,60,1.3,2000,0,0,Spring
224,1.3,69,0.8,2000,0,0,Spring
188,0.8,67,0.8,2000,0,0,Spring
122,0.3,71,0.9,1999,0,0,Spring
82,0.1,71,0.4,2000,0,0,Spring
79,-0.5,75,0.6,1967,0,0,Spring
80,-0.9,78,0.6,1687,0,0,Spring
214,-1,77,0.4,1578,0,0,Spring
583,-1,78,0.6,1484,0,0,Spring
997,-0.7,76,1,1461,0,0,Spring
556,1.2,62,0.8,1338,0,0,Spring
380,3.7,51,1.3,1596,0,0,Spring
475,6.3,41,1.3,1519,0,0,Spring
504,8.5,34,1.9,1876,0,0,Spring
528,9.3,27,2.2,1816,0,0,Spring
567,9.2,27,2.9,1880,0,0,Spring
616,10.1,24,1.8,1839,0,0,Spring
680,10.6,26,1.9,1955,0,0,Spring
883,10.2,27,2.8,1826,0,0,Spring
1246,8.7,28,3.2,2000,0,0,Spring
833,7.1,30,2.7,2000,0,0,Spring
666,6.1,31,2.8,2000,0,0,Spring
625,5.5,33,3.2,1995,0,0,Spring
514,4.5,40,1.3,1871,0,0,Spring
361,3.5,44,0.9,1905,0,0,Spring
289,2.8,45,1.7,1493,0,0,Spring
194,2.8,46,2,1709,0,0,Spring
134,2.6,50,1.3,1962,0,0,Spring
92,2.7,55,1.5,1989,0,0,Spring
49,2.6,61,1.7,1998,0,0,Spring
97,2.5,63,1.3,1987,0,0,Spring
232,2.4,65,1.8,1989,0,0,Spring
598,2.2,65,1.9,2000,0,0,Spring
1032,2.6,63,1.6,1857,0,0,Spring
566,3.8,58,2,1785,0,0,Spring
410,5.2,52,1.5,1808,0,0,Spring
441,8,43,1.7,1909,0,0,Spring
550,9.6,39,1.8,1982,0,0,Spring
509,9.9,39,1.9,1911,0,0,Spring
505,9.8,38,0.9,1908,0,0,Spring
620,10.2,34,2.3,1919,0,0,Spring
646,10.4,36,3.2,1963,0,0,Spring
849,10.4,37,1,2000,0,0,Spring
1365,9.6,42,2,2000,0,0,Spring
799,8.9,44,2.3,2000,0,0,Spring
587,8.5,46,1,1977,0,0,Spring
411,7.9,56,1.4,1975,0,0,Spring
147,7.2,60,1.4,1928,0,0,Spring
48,6,79,2,918,0,0,Spring
49,5.2,83,1.5,733,0.5,0,Spring
23,4.7,86,0.7,717,0,0,Spring
19,4.2,88,0.9,553,0,0,Spring
12,3.8,90,0.8,448,2,0,Spring
8,3.3,90,1.3,682,0,0,Spring
17,3.1,90,1.2,974,0,0,Spring
32,3.1,89,0.2,903,1.5,0,Spring
64,3,90,0.7,578,0,0,Spring
88,3,94,0.3,444,0,0,Spring
100,3.4,90,1.5,386,0.5,0,Spring
165,3.6,88,2.6,681,0,0,Spring
290,4.5,82,2,1226,0,0,Spring
375,5.6,72,3,1700,0,0,Spring
405,6.7,65,3.2,1651,0,0,Spring
452,7.7,62,2.4,1758,0,0,Spring
555,9.2,53,3.3,1896,0,0,Spring
594,9.5,56,3.1,994,0,0,Spring
757,7.5,64,4.3,538,0,0,Spring
1091,5.9,68,3.4,543,0,0,Spring
683,4.5,72,2.7,529,0,0,Spring
586,3.3,74,2.6,494,0,0,Spring
533,3.1,74,3.2,465,0,0,Spring
498,2.8,74,2.1,469,0,0,Spring
315,2.8,73,1.8,468,0,0,Spring
272,3,72,2.3,473,0,0,Spring
228,2.8,73,2.6,413,0,0,Spring
155,2.8,74,1.2,415,0,0,Spring
105,2.7,75,0.7,417,0,0,Spring
66,2.5,76,1,403,0,0,Spring
88,2.5,76,0.7,544,0,0,Spring
195,2.5,71,1.1,1055,0,0,Spring
574,1.6,76,0.7,1024,0,0,Spring
1041,1.8,67,0.7,1917,0,0,Spring
570,3.5,60,1.3,1969,0,0,Spring
361,4.8,54,1.3,1921,0,0,Spring
444,5.9,51,0.7,1866,0,0,Spring
510,6.8,51,1,1617,0,0,Spring
509,7.5,44,2,1526,0,0,Spring
542,8,42,1.5,1690,0,0,Spring
611,7.7,51,2.9,670,0,0,Spring
686,9.6,38,1.7,1052,0,0,Spring
834,8.9,46,1.8,789,0,0,Spring
1231,7,55,2,705,0,0,Spring
718,5.4,60,3.9,990,0,0,Spring
535,4.3,67,1.1,1125,0,0,Spring
537,3.5,69,1.4,1177,0,0,Spring
521,2.9,69,1.2,1179,0,0,Spring
309,2.5,72,1.5,1071,0,0,Spring
328,2.1,74,1.4,970,0,0,Spring
305,2,75,1,658,0,0,Spring
241,1.6,79,0.9,685,0,0,Spring
139,1.3,80,0.6,705,0,0,Spring
91,0.9,81,0.6,620,0,0,Spring
79,0.8,80,0.3,565,0,0,Spring
74,1.1,78,1.1,538,0,0,Spring
208,0.9,78,1.1,535,0,0,Spring
340,1.5,73,1.2,466,0,0,Spring
381,2.7,71,1.3,418,0,0,Spring
416,3.5,65,2.4,539,0,0,Spring
497,5.7,58,2.3,700,0,0,Spring
650,7.1,50,2.2,909,0,0,Spring
757,8.2,42,3.1,1261,0,0,Spring
906,9.2,38,2.6,1377,0,0,Spring
931,8.1,36,4.7,1964,0,0,Spring
972,8.3,37,3.8,1867,0,0,Spring
829,7.7,46,2.8,1635,0,0,Spring
664,6.2,61,3.2,1411,0,0,Spring
573,5.3,67,2.6,1314,0,0,Spring
447,5.2,69,1.8,1196,0,0,Spring
470,5,73,2.2,1173,0,0,Spring
421,5,75,2.2,1084,0,0,Spring
345,5.1,75,1.4,950,0,0,Spring
376,5.1,77,1.9,718,0,0,Spring
222,4.8,80,1.3,583,0,0,Spring
171,4.7,78,1.5,466,0,0,Spring
115,4.4,80,1.6,393,0,0,Spring
80,4.2,81,1.3,333,0,0,Spring
45,3.9,85,1.6,264,0,0,Spring
63,3.4,85,1.5,234,0,0,Spring
119,2.9,84,1.9,241,0,0,Spring
212,2.8,82,1.2,240,0,0,Spring
289,3.9,77,2,263,0,0,Spring
394,5.9,69,2.6,330,0,0,Spring
425,7.6,54,1.6,430,0,0,Spring
666,9.2,40,2.6,592,0,0,Spring
843,10.3,31,2.1,885,0,0,Spring
1154,11.6,20,2.7,1647,0,0,Spring
1294,11.9,26,2.8,1338,0,0,Spring
1205,11.9,25,2.7,1424,0,0,Spring
1028,11.1,25,2,1765,0,0,Spring
776,9.4,22,2.9,1995,0,0,Spring
596,7.8,28,1.9,1982,0,0,Spring
530,6.7,32,1.9,1722,0,0,Spring
533,5.7,34,1,1520,0,0,Spring
419,5.3,31,2.3,1842,0,0,Spring
288,4.2,34,1.7,1476,0,0,Spring
222,3.5,46,1.1,1040,0,0,Spring
163,2.9,51,0.8,1119,0,0,Spring
95,2.7,46,0.4,1363,0,0,Spring
60,2.3,48,0.8,1448,0,0,Spring
47,2.8,52,0.6,1249,0,0,Spring
106,3.3,53,0.4,1208,0,0,Spring
261,2.8,57,0.7,920,0,0,Spring
662,3,53,0.5,1094,0,0,Spring
1066,3.8,47,0.8,1229,0,0,Spring
604,4.8,43,1,1200,0,0,Spring
406,6.6,40,1,1061,0,0,Spring
463,9.2,33,1.1,892,0,0,Spring
581,11.7,32,1.6,690,0,0,Spring
588,13.6,34,1.8,458,0,0,Spring
603,14.9,34,2.8,403,0,0,Spring
694,15.3,32,2.9,458,0,0,Spring
752,14.5,34,3.1,471,0,0,Spring
931,13.7,38,2.6,436,0,0,Spring
1425,12.2,43,2.8,463,0,0,Spring
946,10.6,47,2,425,0,0,Spring
801,9.4,50,2.1,391,0,0,Spring
771,8.7,49,1.7,464,0,0,Spring
695,7.8,49,0.1,528,0,0,Spring
397,6.8,56,0.9,497,0,0,Spring
309,6.4,62,0.7,506,0,0,Spring
231,5.9,65,1,596,0,0,Spring
161,5.4,66,0.6,623,0,0,Spring
103,5.5,62,0.6,722,0,0,Spring
88,6.2,59,0.8,493,0,0,Spring
97,6.8,56,0.9,570,0,0,Spring
252,7,58,0.7,537,0,0,Spring
668,7.2,56,0.5,545,0,0,Spring
1215,8,48,0.4,711,0,0,Spring
616,9.4,44,0.3,743,0,0,Spring
428,10.9,40,0.5,714,0,0,Spring
571,12.6,49,1.4,988,0,0,Spring
626,15.5,47,3.3,1303,0,0,Spring
678,17.1,42,3.2,1305,0,0,Spring
705,18.3,43,2.2,1509,0,0,Spring
815,18.6,47,3.3,1560,0,0,Spring
890,17.6,53,3.7,1735,0,0,Spring
1085,16.9,62,3.1,1562,0,0,Spring
1749,15.7,68,3.3,1473,0,0,Spring
1224,14.1,77,2,1240,0,0,Spring
986,13.9,77,1.5,1010,0,0,Spring
982,13.7,79,2,1035,0,0,Spring
912,13.5,81,2.8,933,0,0,Spring
572,13.4,81,2.6,958,0,0,Spring
412,13.6,79,2.2,862,0,0,Spring
309,13.7,73,2.2,1182,0,0,Spring
226,13.8,70,1.3,1363,0,0,Spring
142,14,67,2.3,1733,0,0,Spring
82,14,70,1.5,1648,0,0,Spring
123,14.1,69,1.3,1923,0,0,Spring
290,14.1,69,1.6,1882,0,0,Spring
786,14.1,69,1.1,1692,0,0,Spring
1371,14.2,67,0.9,1812,0,0,Spring
761,14.6,62,1.2,1768,0,0,Spring
552,15.7,58,1.3,1980,0,0,Spring
643,17.5,55,2.1,1892,0,0,Spring
813,19.9,44,2.7,1874,0,0,Spring
789,20.9,44,4.7,1795,0,0,Spring
878,21.1,42,4.3,2000,0,0,Spring
1025,21.7,39,3.3,1979,0,0,Spring
1049,21.7,41,3.2,2000,0,0,Spring
1325,20.5,49,3.5,2000,0,0,Spring
2100,19.2,53,2.4,2000,0,0,Spring
1478,17.9,54,2.9,2000,0,0,Spring
1275,17.2,60,2.5,1993,0,0,Spring
1181,16.8,67,2,1775,0,0,Spring
983,16.2,71,2,1780,0,0,Spring
587,16.1,69,1.8,1666,0,0,Spring
466,16,69,2.4,1863,0,0,Spring
355,16.3,68,2.1,1859,0,0,Spring
203,16.5,68,1.3,1724,0,0,Spring
51,16.5,69,2.4,1659,0,0,Spring
9,15.1,86,2.1,877,0,0,Spring
8,14.5,94,2,487,0,0,Spring
10,14.4,96,0.7,453,8,0,Spring
15,14.3,97,0.3,189,0,0,Spring
39,14.1,97,1.1,342,0,0,Spring
32,14.1,98,1.1,253,17,0,Spring
27,14.2,98,1.2,299,0,0,Spring
65,13.9,98,1.4,296,0,0,Spring
204,13.3,97,2.9,771,2,0,Spring
269,12.7,97,2.6,467,0,0,Spring
289,12.1,97,2,177,0,0,Spring
329,11.6,97,3.4,117,0,0,Spring
214,10.7,98,1.2,196,0,0,Spring
411,10.9,98,1.3,222,0,0,Spring
676,10.4,98,2.5,116,0,0,Spring
606,10.4,98,2,391,0,0,Spring
533,10.5,97,1.8,372,0,0,Spring
567,10.4,96,2.7,499,0,0,Spring
506,9.8,90,3.7,493,0,0,Spring
343,9.3,90,4.1,609,0,0,Spring
287,8.4,86,2.2,2000,0,0,Spring
278,7.2,83,2.1,2000,0,0,Spring
178,6.7,72,2.1,2000,0,0,Spring
102,6.1,67,2.6,2000,0,0,Spring
85,5.7,62,2.4,2000,0,0,Spring
85,5.2,60,2,2000,0,0,Spring
222,4.4,61,1.7,2000,0,0,Spring
652,3.7,59,2.9,2000,0,0,Spring
1176,3.8,56,2.4,2000,0,0,Spring
683,5.2,51,1.7,2000,0,0,Spring
507,6.7,46,2.2,1936,0,0,Spring
557,8.2,45,2.4,1992,0,0,Spring
705,9.4,40,2.6,1913,0,0,Spring
715,10.4,38,2.4,1959,0,0,Spring
772,11,36,1.8,1973,0,0,Spring
923,11.9,32,1.9,1976,0,0,Spring
976,11.6,31,1.4,1999,0,0,Spring
1160,11.2,30,1.5,2000,0,0,Spring
1641,10,33,1.2,2000,0,0,Spring
974,8.1,36,1.2,2000,0,0,Spring
774,6.7,41,1,2000,0,0,Spring
710,5.8,43,1.8,2000,0,0,Spring
660,4.9,46,0.8,2000,0,0,Spring
455,4.2,47,1.3,2000,0,0,Spring
414,3.7,48,1.6,2000,0,0,Spring
366,3,52,0.7,2000,0,0,Spring
268,2.3,56,0.6,2000,0,0,Spring
157,1.8,59,0.7,2000,0,0,Spring
103,1.3,61,0.7,2000,0,0,Spring
60,1,62,0.9,2000,0,0,Spring
109,0.8,63,1,2000,0,0,Spring
193,0.5,64,0.8,2000,0,0,Spring
384,1.3,57,1,1974,0,0,Spring
520,3.4,49,1.6,1950,0,0,Spring
561,6,43,1,1829,0,0,Spring
742,8,39,1.2,1783,0,0,Spring
933,10,38,1.5,1677,0,0,Spring
1111,10.9,32,1.2,1772,0,0,Spring
1294,12.1,29,2.3,1734,0,0,Spring
1514,13.2,23,2.8,1696,0,0,Spring
1440,13.7,28,2.1,1499,0,0,Spring
1272,12.1,34,2.5,1240,0,0,Spring
934,10.6,42,2.8,1307,0,0,Spring
718,8.8,49,3.2,1207,0,0,Spring
688,7.9,54,2.3,1005,0,0,Spring
624,7.4,54,2,1142,0,0,Spring
562,7,55,2.7,1041,0,0,Spring
422,6.4,59,1.1,961,0,0,Spring
407,5.9,56,1.1,1019,0,0,Spring
309,5.7,55,1.4,1043,0,0,Spring
226,5.5,56,1.2,1067,0,0,Spring
174,5.5,57,1.1,1079,0,0,Spring
106,5.6,55,0.4,1115,0,0,Spring
67,5.6,55,1.2,1008,0,0,Spring
73,5.7,54,1.7,1208,0,0,Spring
152,5.5,58,1,937,0,0,Spring
293,5.9,58,1.8,861,0,0,Spring
398,6.3,53,0.5,849,0,0,Spring
460,7.2,53,1.6,709,0,0,Spring
587,8.5,49,0.7,718,0,0,Spring
751,9.8,46,1.2,710,0,0,Spring
881,10.6,43,1.3,705,0,0,Spring
993,11,41,1.1,763,0,0,Spring
1128,12,37,0.8,879,0,0,Spring
1059,12.3,30,1.6,1263,0,0,Spring
603,11.1,42,2.2,765,0,0,Spring
365,10.4,47,0.4,824,0,0,Spring
237,10,53,1.7,796,0,0,Spring
146,9.2,66,1.1,513,0,0,Spring
71,8.8,72,0.9,501,0,0,Spring
70,8.1,76,0.8,492,0,0,Spring
53,7.4,80,1.3,471,0,0,Spring
67,7,81,1.1,421,0.5,0,Spring
38,6.7,84,0.8,320,0,0,Spring
28,6.6,86,0.6,416,0,0,Spring
12,6.5,88,0.9,276,0.3,0,Spring
9,6.3,90,1,240,0,0,Spring
27,6.2,89,1.5,338,0,0,Spring
91,6.5,88,1.2,417,0.2,0,Spring
370,6.5,88,1.4,515,0,0,Spring
592,7.3,84,2.2,813,0,0,Spring
387,8.2,81,2.7,1273,0.5,0,Spring
292,9.1,77,2.7,1587,0,0,Spring
393,10.2,65,3.3,2000,0,0,Spring
403,10.2,58,3.5,2000,0,0,Spring
387,10.1,61,3.7,1504,0,0,Spring
326,10.1,59,3.3,2000,0,0,Spring
263,9.8,57,3,2000,0,0,Spring
271,8.9,63,3,1614,0,0,Spring
605,8.5,59,2.7,1927,0,0,Spring
1200,8.6,55,2.4,1958,0,0,Spring
818,8.4,51,3.3,1977,0,0,Spring
711,8.3,47,3.1,2000,0,0,Spring
731,8,47,3.3,2000,0,0,Spring
565,7.6,48,3.1,2000,0,0,Spring
382,6.9,44,3.3,2000,0,0,Spring
297,6.3,42,3.3,2000,0,0,Spring
243,5.5,42,3.1,2000,0,0,Spring
165,5.1,44,3.4,2000,0,0,Spring
95,4.7,44,3.8,2000,0,0,Spring
69,4.4,44,3.1,2000,0,0,Spring
92,4.1,42,3.1,2000,0,0,Spring
235,3.9,43,3.4,2000,0,0,Spring
677,3.8,44,4.1,2000,0,0,Spring
1212,4.3,43,4.2,2000,0,0,Spring
661,5.7,38,3.9,1985,0,0,Spring
418,7.4,35,3.5,1990,0,0,Spring
488,8.4,34,3.6,1966,0,0,Spring
522,9,33,3.1,1985,0,0,Spring
516,8,37,3.4,2000,0,0,Spring
478,7.3,38,3.4,1997,0,0,Spring
492,6.5,39,3.3,2000,0,0,Spring
518,5.6,42,4.2,2000,0,0,Spring
719,4.9,43,4.3,2000,0,0,Spring
1111,4.1,43,3.5,2000,0,0,Spring
716,3.2,45,3.7,2000,0,0,Spring
543,2.7,45,3.3,2000,0,0,Spring
494,2.3,40,3.3,2000,0,0,Spring
460,2,37,2.7,2000,0,0,Spring
294,1.8,37,2.3,2000,0,0,Spring
240,1.6,39,2.3,2000,0,0,Spring
223,1.5,40,2.8,2000,0,0,Spring
147,1.4,40,2.9,2000,0,0,Spring
82,1.3,40,2.1,2000,0,0,Spring
70,1.3,39,2.3,2000,0,0,Spring
80,1.3,40,2.3,2000,0,0,Spring
209,1.4,42,1.7,2000,0,0,Spring
605,1.4,43,1.5,2000,0,0,Spring
1097,1.6,42,1.8,2000,0,0,Spring
614,2.5,40,1.9,2000,0,0,Spring
374,3.6,37,1.3,2000,0,0,Spring
339,4.8,35,2.1,2000,0,0,Spring
333,4.8,51,2.2,1715,0,0,Spring
196,4,64,2,1834,0,0,Spring
117,1.9,89,1.5,102,0,0,Spring
184,2.2,85,1.3,2000,0.5,0,Spring
241,2.4,79,1.9,1995,0,0,Spring
319,2.5,78,2,2000,0,0,Spring
615,2,77,1.3,2000,0,0,Spring
402,2,81,0.7,2000,0,0,Spring
120,1.7,85,1.3,396,0,0,Spring
231,1.2,92,0.7,1474,0.5,0,Spring
320,1.2,87,0.9,1802,0,0,Spring
226,1.5,86,1.2,1495,0,0,Spring
243,1.6,86,1.7,1141,0,0,Spring
247,1.6,85,2,952,0,0,Spring
173,1.5,86,2.5,782,0,0,Spring
107,1.3,87,1.7,822,0,0,Spring
75,1.3,87,2.2,937,0,0,Spring
81,1.1,88,0.9,927,0,0,Spring
212,0.8,88,1,900,0,0,Spring
600,0.6,85,1.5,1321,0,0,Spring
1174,1.1,79,1.7,1480,0,0,Spring
653,2.5,67,1.3,1472,0,0,Spring
446,4.9,56,1.9,1480,0,0,Spring
565,6.9,46,2.1,1541,0,0,Spring
668,8.3,36,2.5,1665,0,0,Spring
648,9.9,29,3.2,1641,0,0,Spring
674,11.4,30,3.1,1672,0,0,Spring
758,10.7,34,4.5,1850,0,0,Spring
752,10.3,34,3.8,1850,0,0,Spring
999,9.6,38,3.2,1606,0,0,Spring
1495,7.9,46,3.1,1057,0,0,Spring
923,6.2,54,1.8,883,0,0,Spring
739,5.1,56,2,899,0,0,Spring
726,4.5,62,2,826,0,0,Spring
621,3.9,66,2.7,990,0,0,Spring
428,3.4,69,1.1,895,0,0,Spring
335,2.9,72,1.3,903,0,0,Spring
283,2.5,75,1.5,786,0,0,Spring
216,2.2,80,1.4,615,0,0,Spring
128,1.9,81,1.1,525,0,0,Spring
92,2,80,0.8,474,0,0,Spring
95,2.2,79,0.8,553,0,0,Spring
243,2.3,80,0.7,546,0,0,Spring
661,2.5,79,1.4,536,0,0,Spring
1216,2.6,77,1.3,567,0,0,Spring
664,3.3,72,1.4,618,0,0,Spring
461,5.4,64,1.6,637,0,0,Spring
584,7.1,50,1.7,799,0,0,Spring
690,9.3,37,2.3,940,0,0,Spring
682,10.9,36,2.1,1073,0,0,Spring
758,12.4,33,2.9,811,0,0,Spring
849,12.1,30,3,1120,0,0,Spring
901,12.2,24,2.8,1655,0,0,Spring
1108,11.2,27,3.5,1585,0,0,Spring
1611,9.7,36,3.6,948,0,0,Spring
932,8.3,48,3,779,0,0,Spring
724,6.7,48,2.6,774,0,0,Spring
676,5.8,60,2.2,650,0,0,Spring
638,5.3,63,1.8,591,0,0,Spring
422,5,42,1.7,717,0,0,Spring
403,4.7,46,1.7,746,0,0,Spring
360,4.7,51,1.1,728,0,0,Spring
305,5,50,1.7,669,0,0,Spring
197,5,51,0.8,659,0,0,Spring
122,5.1,54,1.2,550,0,0,Spring
82,4.7,54,1.3,543,0,0,Spring
113,4.2,50,0.6,633,0,0,Spring
198,4,54,0.9,587,0,0,Spring
424,4.5,49,0.4,580,0,0,Spring
456,6.5,40,2.5,588,0,0,Spring
494,7.2,43,1.5,559,0,0,Spring
589,9,56,2,399,0,0,Spring
806,10.6,52,3.1,390,0,0,Spring
880,12.4,50,2.5,379,0,0,Spring
855,12.7,55,3.4,378,0,0,Spring
1025,12.4,58,4.1,404,0,0,Spring
947,12.3,61,3.4,359,0,0,Spring
916,11.1,66,4.2,367,0,0,Spring
736,9,76,3,288,0,0,Spring
521,7.7,80,2.8,234,0,0,Spring
513,7.1,83,3.3,203,0,0,Spring
487,6.7,84,2.8,193,0,0,Spring
460,6.5,85,2.3,167,0,0,Spring
354,6.4,85,2.3,155,0,0,Spring
372,6.4,84,1.4,171,0,0,Spring
267,6.4,82,1.2,186,0,0,Spring
195,6,82,1.3,198,0,0,Spring
139,5.5,83,0.9,186,0,0,Spring
90,5.3,82,1,200,0,0,Spring
60,5,83,0.7,200,0,0,Spring
71,4.6,84,0.7,193,0,0,Spring
137,4.7,82,1.3,198,0,0,Spring
225,5,79,1.1,203,0,0,Spring
331,6.3,73,1.3,218,0,0,Spring
359,8.4,65,1.8,229,0,0,Spring
466,10.7,56,2,261,0,0,Spring
626,12.7,45,1.3,321,0,0,Spring
784,14.6,38,1.9,315,0,0,Spring
882,16.1,37,2.4,315,0,0,Spring
960,16.7,38,3.1,265,0,0,Spring
1031,16.5,39,3.1,366,0,0,Spring
911,15.8,40,2.3,481,0,0,Spring
768,14.4,44,2.7,596,0,0,Spring
571,12.6,59,2.5,384,0,0,Spring
502,10.7,70,2.8,236,0,0,Spring
456,9.8,74,2.2,219,0,0,Spring
424,8.8,79,2,203,0,0,Spring
336,8,82,1.3,196,0,0,Spring
244,7.1,84,2.3,185,0,0,Spring
185,6.3,87,1.8,153,0,0,Spring
93,5.4,95,1.5,89,0,0,Spring
62,5.5,96,1.6,72,0,0,Spring
65,5.5,96,2,53,0,0,Spring
98,5.4,97,1.5,38,0,0,Spring
227,5.7,97,0.5,80,0,0,Spring
581,6,96,0.6,94,0,0,Spring
983,6.4,90,1.4,117,0,0,Spring
540,7.6,82,0.7,147,0,0,Spring
415,10,70,1,187,0,0,Spring
422,12.6,60,2.4,281,0,0,Spring
492,14.6,53,2.5,348,0,0,Spring
504,16,47,2.5,459,0,0,Spring
575,17.4,39,2.9,520,0,0,Spring
604,17.6,33,3.6,985,0,0,Spring
819,17.7,33,3.4,897,0,0,Spring
925,17.1,31,3.3,1075,0,0,Spring
1477,16,33,2.9,1138,0,0,Spring
1031,14.3,37,3.1,1247,0,0,Spring
835,12.9,42,2.8,1047,0,0,Spring
798,11.6,54,1.5,693,0,0,Spring
662,10.7,58,1.4,600,0,0,Spring
447,9.8,62,0.6,535,0,0,Spring
380,9,68,1.1,426,0,0,Spring
278,8.7,70,0.9,398,0,0,Spring
163,8.3,70,0.8,394,0,0,Spring
127,8.1,71,0.9,378,0,0,Spring
95,7.8,70,0.3,395,0,0,Spring
110,8,63,0.8,439,0,0,Spring
231,8.1,66,0.6,415,0,0,Spring
705,8.5,67,0.7,475,0,0,Spring
1201,9.3,62,0.6,519,0,0,Spring
699,11.6,51,0.8,498,0,0,Spring
462,13.9,40,0.8,586,0,0,Spring
560,15.8,40,1.9,647,0,0,Spring
586,16.7,47,2.4,620,0,0,Spring
563,18.6,46,2.1,642,0,0,Spring
618,19.4,45,2,624,0,0,Spring
636,19.9,45,2.7,676,0,0,Spring
774,19.5,50,3.4,613,0,0,Spring
960,18.4,54,3.2,605,0,0,Spring
1521,16.8,60,3.1,580,0,0,Spring
1020,15,67,2.6,452,0,0,Spring
864,13.9,72,2.4,385,0,0,Spring
866,13.4,73,1.5,325,0,0,Spring
764,12.9,75,1.3,326,0,0,Spring
527,12.4,74,1.5,356,0,0,Spring
400,12,76,0.8,346,0,0,Spring
337,11.6,74,1.2,374,0,0,Spring
225,11.5,75,1.9,399,0,0,Spring
150,10.9,79,0.8,383,0,0,Spring
104,10.6,77,0.9,422,0,0,Spring
107,10.2,80,0.8,366,0,0,Spring
258,9.6,84,0.7,301,0,0,Spring
741,9.6,82,1.1,284,0,0,Spring
1353,10.3,77,0.7,341,0,0,Spring
723,12.4,66,1,546,0,0,Spring
494,14.7,62,2.9,684,0,0,Spring
588,15.6,60,3.7,817,0,0,Spring
629,16.5,57,3.8,881,0,0,Spring
723,17.5,54,3.1,1065,0,0,Spring
698,18.6,46,4.4,1664,0,0,Spring
785,18.2,45,4.1,1908,0,0,Spring
943,18.3,43,4.3,1931,0,0,Spring
1221,17.6,45,4.2,1947,0,0,Spring
1839,17,53,3.1,1855,0,0,Spring
1288,16,60,2.8,1436,0,0,Spring
1133,15.2,65,2.2,988,0,0,Spring
1035,14.2,70,0.8,723,0,0,Spring
907,13.6,73,2,644,0,0,Spring
614,13.5,74,1.2,603,0,0,Spring
466,13.4,77,1.5,537,0,0,Spring
390,13,81,1.9,484,0,0,Spring
254,12.9,83,1.6,369,0,0,Spring
170,12.7,80,0.4,384,0,0,Spring
109,12.8,81,0.2,418,0,0,Spring
106,12.7,83,0.8,392,0,0,Spring
